,I1,I2,I3,P(IPO),P(H),P(L),P(1Day),C1,C2,C3,C4,C5,C6,C7,T1,T2,T3,T4,T5,S1,S2,S3,IndDivision,Manufacturing,Other,Services,Y1,Y2,C3x,C6x,C5x,T3x,T4x,T5x,S1x,S2x,S3x,income,perOffered,P/E,T5xbin,C6xbin,T3xbin,labels
0,RA,RAILAMERICA INC /DE ,4011,0.6419535023186731,0.824183607459961,0.8228541830625782,0.3742963948661332,0.1684410080037963,1,0.6122816998865637,0.460050079692258,0.8445826106947381,0.9992973526241562,0.7880793892503402,0.5721345711099813,0.6372798206158207,0.5658651874904419,0.6656979157173051,0.41678523110080734,0.8436068618565054,0.9829579306668346,0.15730457941412818,Services,0,0,1,1,0,1,0.24609581891985172,0.15984228682104296,0.055388947809614744,0.8774301423563952,0.10323299696741867,0.8430433467611176,0.986080076047264,0.01454284596831104,0.9219264503025559,0.8635565194720536,0.933754047554129,1,0,1,3
1,G,Genpact LTD ,8742,0.5546102538694483,0.824183607459961,0.8228541830625782,0.5563221810659327,0.21768566419953955,1,0.5665585586313778,0.022081447347450982,0.7787331980873476,0.8053652979073633,0.8197697808476343,0.8797984690538126,0.7516265608100947,0.7654160227385507,0.7707520085167006,0.6500463558812326,0.8436068618565054,0.5527323155218825,0.8372942474116114,Services,0,0,1,1,1,1,0.24609581891985172,0.9236534248983174,0.6880993962038733,0.16002476486627482,0.25192839282343227,0.7106366321294434,0.2957995933335738,0.6380076551246399,0.9718850831371554,0.11940853447135225,0.9902139595950816,2,0,3,2
2,HURN,Huron Consulting Group Inc.,8742,0.6419535023186731,0.6231424902627405,0.6230702070315971,0.6818420548909316,0.7547918344121608,1,0.42648274847538237,0.7028509798876513,0.19246569388312085,0.20989766318902647,0.4605658346910083,0.15802614735868392,0.29327254829875077,0.2471773704614627,0.27001383835336124,0.28669870701544076,0.10447169078627988,0.09915764420968132,0.10779269773566219,Services,0,0,1,0,1,0,0.24609581891985172,0.333535923860993,0.1252194617194588,0.8996706283640101,0.550631644480816,0.06790017427883728,0.04412601842358677,0.07971714529770818,0.3503760802256066,0.6430677817462717,0.26819516583601805,3,0,1,1
3,ICFI,ICF International Inc. ,8742,0.37622258501788236,0.6231424902627405,0.6230702070315971,0.2906219495168172,0.6830588113678809,1,0.5791447446634606,0.9225961455897749,0.15056381100237942,0.18823206697806566,0.5713818020860416,0.5458626289771693,0.4282278357743905,0.3982628883352644,0.3977832361641431,0.38777523087689353,0.47988224671108204,0.22946119999904796,0.7922124511503552,Services,0,0,1,1,1,1,0.24609581891985172,0.21817390744424014,0.7647221951128041,0.22359579824324555,0.4915646714527802,0.6336362307670624,0.18291225326822752,0.9642997944055847,0.23000299424300558,0.7858688727330678,0.9519098492549276,2,0,3,2
4,SRVY,GREENFIELD ONLINE INC ,8742,0.46452130174129813,0.5019561906084825,0.502865540066132,0.6707721815651301,0.3243609582012237,1,0.5156631702260944,0.027340085185902523,0.19487728177885888,0.20989766318902647,0.1705849106602199,0.4221392914999379,0.3638841959924783,0.32797481304610926,0.41739464874429527,0.27040685500385553,0.5813603455760737,0.4057318556094461,0.3954993035198887,Services,0,0,1,1,1,1,0.24609581891985172,0.3428606833672659,0.5746693159759427,0.6370191798479327,0.2713302641154056,0.8293861013164779,0.5783044977760652,0.6263645366540899,0.2882871664796446,0.6323359317243806,0.7682003721021076,2,0,3,2
5,WAGE,WAGEWORKS INC. ,8742,0.15998511836530172,0.17836341955336482,0.18090246048771197,0.3093648377820595,0.7535511824418578,0,0.9088064133584963,0.13572735004250608,0.343985012704086,0.32498444490309775,0.5090283702622271,0.9099808089050032,0.9230257629006118,0.9773760647589008,0.9708422389530311,0.9558583133656325,0.9932678003610693,0.8766834046488273,0.9793932005179243,Services,0,0,1,1,1,1,0.24609581891985172,0.5293747615702356,0.9530251588748853,0.8476987008740666,0.44226982584043933,0.8072631113735429,0.3808571731382131,0.5707332446675427,0.24617608591648033,0.4410547053849623,0.49933876809697,2,0,4,2
6,XPRT,LECG CORP ,8742,0.7928700562189778,0.6231424902627405,0.6230702070315971,0.7884284322774644,0.20083390039364174,1,0.06133309518956638,0.9467540577887483,0.255350241777793,0.4135231193256524,0.5056612169533451,0.09711637924359223,0.131768096408511,0.13915887923549924,0.14516454679366614,0.1402457588726389,0.03852008760634173,0.09175490157634464,0.16770386945359678,Services,0,0,1,0,1,0,0.980714311373191,0.21154769122518569,0.33173030213398413,0.572632258838999,0.40200431038835577,0.006917786220008699,0.10729309692060623,0.5857835798027387,0.6030438387787896,0.7945824650943021,0.2512155942954956,2,1,2,3
7,BHRT,U.S. Stem Cell Inc.,8731,0.0326355494057518,0.6231424902627405,0.6230702070315971,0.047615922654575454,0.7535511824418578,0,0.21643490574852664,0.21213987598238332,0.16858158587673505,0.04230872610285733,0.7853649005480019,0.3194370065266428,0.49660216721970907,0.4669786350409929,0.32596308666990037,0.29122137359186934,0.2996002144359593,0.3722662086231684,0.21359703415287423,Services,0,0,1,1,0,0,0.24609581891985172,0.7655310676374816,0.761875083354399,0.6193438288440062,0.09587120316439474,0.2683745191078902,0.35284848633603494,0.10509997547390137,0.24355291129205653,0.244409701036093,0.30468919246984644,1,0,3,2
8,GEVO,Gevo Inc. ,8731,0.6419535023186731,0.5019561906084825,0.502865540066132,0.7884284322774644,0.8629119669966916,1,0.2010804167494457,0.7589925103407483,0.3243113712933977,0.38176393635556094,0.1112290419328763,0.7080265034888024,0.814677208353711,0.8340870920683072,0.791622000921436,0.8633989420245421,0.8158744121483708,0.7648438004984148,0.7798844073594151,Services,0,0,1,0,1,0,0.7850504915492638,0.38419961418076143,0.4237574701657937,0.8565012938903909,0.6088466496676128,0.5632731745901068,0.4634207961361238,0.3841868722649029,0.5202677810153881,0.5862091071858251,0.3937351529789679,3,1,2,1
9,GNOM,COMPLETE GENOMICS INC ,8731,0.15998511836530172,0.3805876847459918,0.3823981221263626,0.11474865301420167,0.4059283087516853,1,0.06396853309739985,0.914540898858139,0.34536042868586514,0.28384311993016553,0.2502507170981403,0.5874857196701804,0.7108588306919131,0.7222570387819645,0.6981235669926689,0.7534657482746033,0.4364058993007331,0.7908257793348962,0.9170393741374505,Services,0,0,1,1,0,0,0.24609581891985172,0.6253631135469684,0.812709426641754,0.9017529001928892,0.6561920307665862,0.24277555897880237,0.6753876291453744,0.8622641187391037,0.21653504081916908,0.3567087099605272,0.3173829362777193,3,0,4,0
