,I1,I2,I3,P(IPO),P(H),P(L),P(1Day),C1,C2,C3,C4,C5,C6,C7,T1,T2,T3,T4,T5,S1,S2,S3,Y1,Y2,C3x,C6x,C5x,T3x,T4x,T5x,S1x,S2x,S3x,income,perOffered,P/E,C6xbin,T5xbin,T3xbin,IndDivision,Manufacturing,Other,Services,labels
0,RA,RAILAMERICA INC /DE ,4011,0.5,0.6875,0.6875,0.38279511972480706,0.3278348343034287,1,0.5669291338582677,0.4529581733188234,0.5552936931513734,0.9772468714448237,0.6665811503727146,0.46685472496473907,0.5467155746690278,0.4627645396876166,0.5274949083503055,0.3791257805530776,0.6492537313432836,0.8288288288288288,0.2591093117408907,1,0,1,0.0,0.2909614001469946,0.2126840369462163,0.7214550000428327,0.26674453183826324,0.6952482133029522,0.8906182262382561,0.11304898875050419,0.8380368314763177,0.7137519620900186,0.7682552572260345,0,1,1,Services,0,0,1,1
1,G,Genpact LTD ,8742,0.4583333333333333,0.6875,0.6875,0.46631405493749223,0.3601899376594601,1,0.5452755905511811,0.08748257395627593,0.5008636689112994,0.5261528668941979,0.6874428735916783,0.7179125528913963,0.6202462264946454,0.5752971906818061,0.5906313645621182,0.49955396966993754,0.6492537313432836,0.4189189189189189,0.6396761133603239,1,1,1,0.0,0.7403494629933032,0.6026696018192104,0.3244075459212091,0.3770799817406972,0.6077483936737968,0.3725172076322477,0.5661885594839047,0.5897566980626276,0.29054013330774936,0.9195861606975241,0,2,3,Services,0,0,1,0
2,HURN,Huron Consulting Group Inc.,8742,0.5,0.5625,0.5625,0.5261692918399166,0.6239101383226422,1,0.48031496062992124,0.5739260372349596,0.138048450563213,0.2036405005688282,0.5031285404764158,0.2566995768688293,0.38628889451049836,0.29148675302521454,0.31771894093686354,0.30776092774308655,0.1865671641791045,0.12612612612612611,0.2145748987854251,0,1,0,0.0,0.3956441658895353,0.29599033754949705,0.7458760499182934,0.5246536619638588,0.211333650158064,0.15131168734042452,0.2516194772880639,0.3655433256768073,0.5576476334546588,0.3743584858804669,0,3,1,Services,0,0,1,1
3,ICFI,"ICF International, Inc. ",8742,0.375,0.5625,0.5625,0.3410356521184645,0.5856216006909194,1,0.5511811023622047,0.7440530841047146,0.10143542299027593,0.18862343572241183,0.5538495405419642,0.4527503526093089,0.44502065941479046,0.37731222346606963,0.3890020366598778,0.3639607493309545,0.43283582089552236,0.23873873873873874,0.6072874493927125,1,1,1,0.0,0.33112169872450486,0.6458926366426204,0.36315381279720316,0.4971299128812957,0.5663522702832215,0.3028699657298541,0.8252950243829845,0.30717449196403723,0.6460332977960582,0.7974135815534777,0,2,3,Services,0,0,1,0
4,SRVY,GREENFIELD ONLINE INC ,8742,0.4166666666666667,0.5,0.5,0.5206013839838679,0.41841745937993574,1,0.5216535433070866,0.10490026208115548,0.13999543212514864,0.2036405005688282,0.348029691951675,0.3906911142454161,0.4169828821991736,0.3394637240791087,0.39918533604887985,0.29794826048171275,0.48507462686567165,0.34234234234234234,0.4008097165991903,1,1,1,0.0,0.400369675275163,0.5461506923414945,0.5609511072199701,0.3881409931808438,0.6845377769420231,0.5115225995547604,0.5606663652122752,0.33581895962366676,0.5519535663134156,0.626279081482846,0,2,3,Services,0,0,1,0
5,WAGE,"WAGEWORKS, INC. ",8742,0.25,0.3125,0.3125,0.3507795384723429,0.6232032520473846,0,0.7598425196850395,0.26194576791024554,0.2416183037380691,0.27189988623435724,0.5252501606941998,0.768688293370945,0.8245636225651404,0.8331467562236793,0.8228105906313645,0.7662801070472792,0.9477611940298507,0.6306306306306306,0.8421052631578947,1,1,1,0.0,0.4890110853673956,0.8241946277350617,0.6936398357639457,0.47411894409988936,0.6682913652331895,0.416693077225221,0.5349308128712146,0.3152539211125972,0.4597826256429365,0.4898421752342608,0,2,4,Services,0,0,1,0
6,XPRT,LECG CORP ,8742,0.5833333333333334,0.5625,0.5625,0.5854677550502783,0.34967236544425473,1,0.2303149606299213,0.7806364379670611,0.18484176141762068,0.3174061433447099,0.5237149618752452,0.2157968970380818,0.3080782528037777,0.21067221067221067,0.22810590631364563,0.2033898305084746,0.08208955223880597,0.11711711711711711,0.26720647773279355,0,1,0,0.7555555555555555,0.3269177240700165,0.4295549021855314,0.5295780610806119,0.4550260092442901,0.02349526313320649,0.23910647601305293,0.5418063225123878,0.4963380956311537,0.6525937118580468,0.3645059788647886,1,2,2,Services,0,0,1,1
7,BHRT,"U.S. Stem Cell, Inc.",8731,0.09375,0.5625,0.5625,0.1391982253544753,0.6232032520473846,0,0.3700787401574803,0.3194171021654686,0.11789027457698759,0.026166097838452786,0.6648837072363654,0.34132581100141046,0.47579897124546755,0.4126019510634895,0.35030549898167007,0.31043710972346117,0.3358208955223881,0.32432432432432434,0.29959514170040485,1,0,0,0.0,0.6095507164958244,0.6441667120554663,0.5521339953419264,0.2589365800050012,0.3805772795491803,0.40260254575552656,0.2791354853836028,0.05452257586640532,0.029134209778889513,0.3945215177661078,0,1,3,Services,0,0,1,0
8,GEVO,"Gevo, Inc. ",8731,0.5,0.5,0.5,0.5854677550502783,0.6963770723556044,1,0.36023622047244097,0.6065027923401136,0.22963396860646118,0.3014789533560865,0.2992618683371337,0.5500705218617772,0.6736234083818197,0.6250333173410096,0.604887983706721,0.6431757359500446,0.6268656716417911,0.5405405405405406,0.5991902834008097,0,1,0,0.4047619047619047,0.42078954364978743,0.47497457924345016,0.7014160861952993,0.552298658438959,0.5310605369828039,0.45672597824122385,0.4504416486073332,0.4498409355698121,0.5283690442018935,0.4397700219134274,1,3,2,Services,0,0,1,1
9,GNOM,COMPLETE GENOMICS INC ,8731,0.25,0.4375,0.4375,0.2235523424861021,0.4574470164117562,1,0.23425196850393704,0.7338290830696566,0.24244609676365605,0.24914675767918087,0.3986149994859161,0.47531734837799716,0.5914916940720129,0.5482168559091636,0.5458248472505092,0.56021409455843,0.41044776119402987,0.5585585585585585,0.7165991902834008,1,0,0,0.0,0.5345761852559877,0.67700459649049,0.7483737905599095,0.5756262546832236,0.3651484454887065,0.5602415818382613,0.6979789759357062,0.3003389547768011,0.4209759505815572,0.401266194122878,0,3,4,Services,0,0,1,0
