,I1,I2,I3,P(IPO),P(H),P(L),P(1Day),C1,C2,C3,C4,C5,C6,C7,T1,T2,T3,T4,T5,S1,S2,S3,Y1,Y2,C3x,C6x,C5x,T3x,T4x,T5x,S1x,S2x,S3x,income,perOffered,P/E,C6xbin,T5xbin,T3xbin,IndDivision,Manufacturing,Other,Services,labels
0,RA,RAILAMERICA INC /DE ,4011,0.6040393215265958,0.7263196623568738,0.735274957447539,0.3922132955372396,0.2551062771565825,1,0.5263461922344121,0.47379718553588185,0.5669391820274995,0.8026633245745185,0.7765879984205589,0.5025723683605942,0.5637506891179467,0.5297550702379275,0.6254547871201013,0.3986968978845763,0.7662956202761042,0.8994832581828319,0.1810033814297003,1,0,1,0.275191847760374,0.2521097745728213,0.34961687578963285,0.8775980822324186,0.44682780162923363,0.8093847367213616,0.973009741229274,0.027191255949821542,0.8451810506441633,0.8011277002548682,0.6528335499551352,0,1,1,Services,0,0,1,0
1,G,Genpact LTD ,8742,0.5259379762946715,0.7263196623568738,0.735274957447539,0.42917124129746104,0.29406154542395035,1,0.5253712729907146,0.03030681776774918,0.9985878486520527,0.9724085173454367,0.8054615966149988,0.8699370496584722,0.6957633623334395,0.7112624212253069,0.7247571632289956,0.5829430554648208,0.7662956202761042,0.4761894477537597,0.7595141721535932,1,1,1,0.275191847760374,0.7179952346701705,0.535764754619599,0.16820447692849705,0.4643305996023828,0.679571422313284,0.2985102511485167,0.5975664868563804,0.9499838208101149,0.1838758896475594,0.7292534654678979,0,2,3,Services,0,0,1,1
2,HURN,Huron Consulting Group Inc.,8742,0.6040393215265958,0.5634375117896849,0.5623404408289218,0.4560656498161338,0.6597091774152988,1,0.5224456268635191,0.7031734909921695,0.2957487503627666,0.30421391693960254,0.48912303931388434,0.17598280808535288,0.2719284681536255,0.2547534027476416,0.27386702684873543,0.2970311950252179,0.13493740889530642,0.1548929535987909,0.13551622649044137,0,1,0,0.275191847760374,0.3527508898961533,0.3879568077287154,0.9021197439789724,0.48784295604315847,0.08271318988417325,0.057379968176322106,0.10384634706727186,0.32455879532004456,0.5798479384808302,0.13380545942973404,0,3,1,Services,0,0,1,0
3,ICFI,ICF International Inc. ,8742,0.3697767504263667,0.5634375117896849,0.5623404408289218,0.37407098052235466,0.607678724801987,1,0.5256371753715765,0.9156454435506662,0.2747355507530636,0.29501702452932876,0.5859943733010922,0.4774903002331652,0.372204644829862,0.3852671884280549,0.386597371700203,0.3762207031006447,0.44856382348319956,0.2584932375792563,0.7147054685766832,1,1,1,0.275191847760374,0.28889176933884175,0.5566730102677194,0.22543113681875016,0.4834520296385439,0.6075507952996938,0.19522478239443142,0.9316693908369266,0.2621592555201626,0.7143781020651955,0.6681839449135465,0,2,3,Services,0,0,1,1
4,SRVY,GREENFIELD ONLINE INC ,8742,0.4468234716284893,0.475550461763981,0.46849077896260577,0.45355339310484777,0.37028743960224597,1,0.5243075516281586,0.036725694074692096,0.2968865556259588,0.30421391693960254,0.21917465794204466,0.36948420658235215,0.32270363202410407,0.3249393306584384,0.4038129427998915,0.2840198332383118,0.5308187523208663,0.37838017175084465,0.37837997481211255,1,1,1,0.275191847760374,0.35762476450739655,0.5082841322870068,0.6195538026353724,0.46608961998263115,0.7954707308057309,0.5517818339321635,0.5872974130049203,0.2920085271550617,0.5706418049885648,0.9465506750522376,0,2,3,Services,0,0,1,1
5,WAGE,WAGEWORKS INC. ,8742,0.17652078095025814,0.2344197890675634,0.21564851667968304,0.3782809623549709,0.9666480586969789,0,0.5350241957021407,0.15576704419113901,0.35882287913315114,0.3475251119610263,0.5316340986537641,0.9118984891495516,0.931848734498606,0.9517902910019089,0.9469949383760257,0.8928565857685195,0.9717643438822647,0.7361454372571898,0.9411462172094442,1,1,1,0.275191847760374,0.4525240667725386,0.6406602497654628,0.844766360935816,0.4797825547125458,0.7732481871472177,0.3747471348044531,0.5387592930181905,0.27041784238064737,0.4198303874560967,0.4970859295600528,0,2,4,Services,0,0,1,1
6,XPRT,LECG CORP ,8742,0.7457976838149454,0.5634375117896849,0.5623404408289218,0.48291033667474575,0.28110092824081334,1,0.5111764275893933,0.9403357596915602,0.3236291783577,0.37759420352032164,0.5286899613813977,0.13281179242003055,0.16325980794565792,0.15719477765336998,0.15996661807455942,0.17439088783834972,0.06468529960689241,0.14799178171235705,0.19020020196016946,0,1,0,0.8556900358057623,0.28492589256876744,0.4516148832974801,0.5542679878407243,0.47673916097795493,0.011745824270520712,0.12281545277402289,0.5518143406404812,0.4809389820034092,0.7235070088017552,0.42563205274751104,1,2,2,Services,0,0,1,0
7,BHRT,U.S. Stem Cell Inc.,8731,0.04706213110946465,0.5634375117896849,0.5623404408289218,0.2908702863477015,0.96345031740618,0,0.5174782084576927,0.23352298206788286,0.28408800583409344,0.20465174569918404,0.7741360083504772,0.2900034028776909,0.42905625081025134,0.44417571859953586,0.3234433871674257,0.30062649511496986,0.30397168535450036,0.3562257659318674,0.2297706714062578,1,0,0,0.275191847760374,0.9994460226407729,0.555840754523487,0.6014624777992867,0.4455927156969097,0.27568676403580794,0.34971417537238014,0.12963548334189146,0.07733030522219421,0.023887597107060957,0.44261159867011346,0,1,3,Services,0,0,1,1
8,GEVO,Gevo Inc. ,8731,0.6040393215265958,0.475550461763981,0.46849077896260577,0.9999999999983188,0.7497185256874208,1,0.31386800729189335,0.7564522666554712,0.3512812554627659,0.36697446387330696,0.15622647473218076,0.6471236717394236,0.7786401881963558,0.7794369475331717,0.7452526213104353,0.7779699392982236,0.7383122053608692,0.6320802254776925,0.7029122699178176,0,1,0,0.6145549332424204,0.37894456933785564,0.47363694642996157,0.8544811207813084,0.4922547084307011,0.542972232305119,0.4484575572264568,0.37925080398546007,0.4236547609795611,0.5321552772692607,0.4683988200369671,1,3,2,Services,0,0,1,0
9,GNOM,COMPLETE GENOMICS INC ,8731,0.17652078095025814,0.3888417836349619,0.3763678571758598,0.32461834644588083,0.4246474265977552,1,0.51135398813475,0.9075327047959225,0.3593458791143914,0.3328294573518704,0.003505964283449491,0.5176230764637968,0.6460556547267368,0.6703878375749341,0.6555375533148141,0.6715617361921994,0.4137762629325989,0.654019681944697,0.8488320917014993,1,0,0,0.275191847760374,0.5027623042621381,0.5716290987884836,0.904408684170604,0.49597822356921434,0.2521162248888072,0.6409807422032614,0.8101405180469172,0.2552744780843754,0.35850417154957015,0.4464427102453433,0,3,4,Services,0,0,1,1
